Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categoría,Provincia,Departamento,Localidad,Nombre,Dirección,Piso,CP,cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,tipo_gestion,Pantallas,Butacas,espacio_INCAA,año_actualizacion
10049030,10,10049,NULL,Salas de cine,Catamarca,Capital,Catamarca,Cinemacenter,Intendente Mamerto Medina 220,NULL,4700,NULL,NULL,NULL,http://www.cinemacenter.com.ar/,NULL,-28.46473700,-65.80067500,Localización precisa,INCAA / SInCA,Privado comercial,5,743,NULL,2018
10091150,10,10091,NULL,Salas de cine,Catamarca,Santa Maria,Santa María,Centro Cultural San Agustín,San Martin 173,NULL,4139,3838,421511,NULL,NULL,NULL,-26.69385900,-66.04905800,Localización precisa,INCAA / SInCA,Privado comercial,1,440,0,2018
22140060,22,22140,NULL,Salas de cine,Chaco,San Fernando,Resistencia,Los Cines De La Costa,Av. Sarmiento 2600,NULL,3500,3794,472200,administracion@loscinesdelacosta.com.ar,http://resistencia.loscinesdelacosta.com.ar/,NULL,-27.43099500,-58.96267200,Localización precisa,INCAA / SInCA,Privado comercial,5,820,NULL,2018
26091020,26,26091,NULL,Salas de cine,Chubut,Sarmiento,Sarmiento,Deborah Jones De Williams,Reg. Inf. Mec. 25 Esquina 20 De Junio,NULL,9020,297,4897169,culturasarmiento@hotmail.com,http://www.culturachubut.gob.ar/…/convo-evita-culturales.ht…,NULL,-45.59437400,-69.06959400,Localización precisa,INCAA / SInCA,Público municipal,1,80,NULL,2018
18007010,18,18007,NULL,Salas de cine,Corrientes,Bella Vista,Bella Vista,Fantasio,Salta 1059,NULL,3432,NULL,NULL,nuevocineteatrorex@gmail.com,https://www.facebook.com/CineFantasioBellaVista/,NULL,-28.50849400,-59.04546400,Localización precisa,INCAA / SInCA,Privado comercial,1,240,NULL,2018
30056070,30,30056,NULL,Salas de cine,Entre Ríos,Gualeguaychu,Gualeguaychú,Cinema Gualeguaychú,25 De Mayo 1383,NULL,2820,263,4553653,cebriancine@gmail.com,http://cinemagualeguaychu.com,NULL,-33.00993700,-58.52547400,Localización precisa,INCAA / SInCA,Privado comercial,1,330,NULL,2018
30084070,30,30084,NULL,Salas de cine,Entre Ríos,Parana,Crespo,Salón Teatro Municipal,25 De Mayo 943,NULL,3116,343,4951160,municres@gmail.com,http://www.crespo.gov.ar,NULL,-32.03123100,-60.30582800,Localización precisa,INCAA / SInCA,Público municipal,1,180,NULL,2018
30028010,30,30028,NULL,Salas de cine,Entre Ríos,Federacion,Chajarí,Cine Gran Libertad,3 De Febrero 3060,NULL,3228,11,49899707,gerenciagranlibertad@gmail.com,http://cinegranlibertad.com/sala/gran-libertad/alias/chaj,NULL,-30.75941500,-57.98492900,Localización precisa,INCAA / SInCA,Privado comercial,1,400,NULL,2018
30084160,30,30084,NULL,Salas de cine,Entre Ríos,Parana,Paraná,Cine Complejo Círculo,Andres Pazos 339,NULL,3100,343,4233222,v-vieiro@hotmail.com,https://www.cinecirculo.com.ar/,NULL,-31.73292900,-60.52463100,Localización precisa,INCAA / SInCA,Privado comercial,2,300,NULL,2018
30008020,30,30008,NULL,Salas de cine,Entre Ríos,Colon,Colón,Starlight,Calle 12 De Abril 287,NULL,3280,3447,424481,samanthaeventos@hotmail.com,https://www.facebook.com/pg/StarlightCineColon/about/?ref=page_internal,NULL,-32.22154000,-58.13871300,Localización precisa,INCAA / SInCA,Privado comercial,2,154,NULL,2018
30049040,30,30049,NULL,Salas de cine,Entre Ríos,Gualeguay,Gualeguay,Altos Del Gualeguay,Rocamora 33,NULL,2840,3444,453306,legales@nefroargentina.com.ar,https://www.facebook.com/pg/CineAltosDeGualeguay/about/?ref=page_internal,NULL,-33.15032300,-59.31160900,Localización precisa,INCAA / SInCA,Privado comercial,1,198,NULL,2018
38094050,38,38094,NULL,Salas de cine,Jujuy,Tilcara,Tilcara,Barbarita Cruz,Belgrano 547,NULL,4624,388,4955462,musica@imagine.com.ar,https://capectilcara.com/,NULL,-23.57710500,-65.39396100,Localización precisa,INCAA / SInCA,Privado independiente,1,120,si,2018
38021060,38,38021,NULL,Salas de cine,Jujuy,Dr. Manuel Belgrano,San Salvador de Jujuy,Cine Auditorium,Independencia Esq. Italia S/N,NULL,4600,388,4632908,cineauditoriumjujuy@gmail.com,https://www.facebook.com/CineAuditoriumJujuyINCAAMercosur/,NULL,-24.18725200,-65.29285100,Localización precisa,INCAA / SInCA,Otros,1,201,NULL,2018
42007010,42,42007,NULL,Salas de cine,La Pampa,Atreuco,Doblas,Centro Cultural Doblas,Cordoba 670,NULL,6305,2953,492102,culturaydeportedoblas@cosedo.com.ar,NULL,NULL,-37.15213900,-64.01129800,Localización precisa,INCAA / SInCA,Público municipal,1,114,NULL,2018
42021020,42,42021,NULL,Salas de cine,La Pampa,Capital,Santa Rosa,Milenium,Escalante 270,NULL,6300,295,4773833,cineamadeus@yahoo.com.ar,https://www.facebook.com/pages/Cine-Milenium/321221581543378,NULL,-36.62312200,-64.29479700,Localización precisa,INCAA / SInCA,Privado comercial,1,352,NULL,2018
46042010,46,46042,NULL,Salas de cine,La Rioja,Chilecito,Chilecito,Cinema,La Plata Y 19 De Febrero,NULL,5360,380,4626907,ericontadoralinares@gmail.com,http://cinema3dlarioja.com/,NULL,-29.16301100,-67.49568800,Localización precisa,INCAA / SInCA,Privado comercial,2,216,NULL,2018
54077060,54,54077,NULL,Salas de cine,Misiones,Libertador Grl. San Martin,Puerto Rico,Cine Teatro Municipal San Martin,Av. San Martin 1474,NULL,3334,3743,422400,cultura.puertoricomnes@gmail.com,https://www.facebook.com/Cine-Teatro-San-Martin-Puerto-Rico-Misiones-611780998973270/,NULL,-26.81182100,-55.02552000,Localización precisa,INCAA / SInCA,Público municipal,1,520,NULL,2018
54063030,54,54063,NULL,Salas de cine,Misiones,Iguazu,Puerto Iguazú,Cine Panoramic Grand,Paraguay 372,NULL,3370,3757,498100,NULL,http://www.panoramicgrand.com,NULL,-25.59339300,-54.57574400,Localización precisa,INCAA / SInCA,Privado comercial,1,40,NULL,2018
54028030,54,54028,NULL,Salas de cine,Misiones,Capital,Posadas,Del Conocimiento,Ruta 12 Y Acceso Oeste (Av. Ulises Lopez),NULL,3300,3764,191010,info@imaxdelconocimiento.com,https://www.parquedelconocimiento.com/,NULL,-27.39619800,-55.96347700,Localización precisa,INCAA / SInCA,Público provincial,1,546,si,2018
